[09:51:26] [ServerMain/INFO]: Building unoptimized datafixer
[09:51:27] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[09:51:28] [ServerMain/INFO]: Loaded 7 recipes
[09:51:29] [ServerMain/INFO]: Loaded 1179 advancements
[09:51:29] [Server thread/INFO]: Starting minecraft server version 1.19
[09:51:29] [Server thread/INFO]: Loading properties
[09:51:29] [Server thread/INFO]: Default game type: SURVIVAL
[09:51:29] [Server thread/INFO]: Generating keypair
[09:51:30] [Server thread/INFO]: Starting Minecraft server on *:25565
[09:51:30] [Server thread/INFO]: Using default channel type
[09:51:30] [Server thread/INFO]: Preparing level "world"
[09:51:30] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[09:51:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[09:51:34] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[09:51:34] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:51:35] [Worker-Main-5/INFO]: Preparing spawn area: 37%
[09:51:35] [Server thread/INFO]: Time elapsed: 4919 ms
[09:51:35] [Server thread/INFO]: Done (5.140s)! For help, type "help"
[09:52:08] [User Authenticator #1/INFO]: UUID of player tenpensizimi is 933aff28-38d0-4ddc-b68d-b8d215ad8a9a
[09:52:09] [Server thread/INFO]: tenpensizimi[/25.32.157.190:64514] logged in with entity id 26 at (321.498245546197, 64.0, 1343.6879575462358)
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
[10:26:41] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=413, y=79, z=1341} gt{x=411, y=79, z=1341}
[10:26:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=413, y=79, z=1341} gt{x=411, y=79, z=1341}
[10:26:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=413, y=79, z=1341} gt{x=411, y=79, z=1341}
[10:26:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=413, y=79, z=1341} gt{x=411, y=79, z=1341}
[10:26:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=413, y=79, z=1341} gt{x=411, y=79, z=1341}
[10:26:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=405, y=79, z=1344} gt{x=404, y=79, z=1346}
[10:28:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=421, y=79, z=1310} gt{x=420, y=78, z=1310}
[10:28:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=421, y=79, z=1310} gt{x=420, y=78, z=1310}
[10:28:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=421, y=79, z=1310} gt{x=420, y=78, z=1310}
[10:28:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=421, y=79, z=1310} gt{x=420, y=78, z=1310}
[10:28:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=421, y=79, z=1310} gt{x=420, y=78, z=1310}
[10:28:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=421, y=79, z=1310} gt{x=420, y=78, z=1310}
[10:37:51] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=425, y=79, z=1250} gt{x=424, y=79, z=1250}
[10:37:51] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=425, y=79, z=1250} gt{x=424, y=79, z=1250}
[10:46:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:46:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=408, y=77, z=1359} gt{x=408, y=76, z=1359}
[10:47:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=406, y=73, z=1359} gt{x=408, y=71, z=1360}
[10:47:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=411, y=71, z=1360} gt{x=411, y=71, z=1362}
[10:47:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=411, y=71, z=1360} gt{x=411, y=71, z=1362}
[10:47:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=412, y=72, z=1361} gt{x=412, y=72, z=1360}
[10:47:37] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=403, y=76, z=1321} gt{x=402, y=76, z=1321}
[10:48:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=355, y=74, z=1310} gt{x=357, y=74, z=1310}
[10:48:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=355, y=74, z=1310} gt{x=357, y=74, z=1310}
[10:48:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=355, y=74, z=1310} gt{x=354, y=75, z=1310}
[10:48:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=355, y=74, z=1310} gt{x=354, y=75, z=1310}
[10:48:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=355, y=74, z=1310} gt{x=354, y=75, z=1310}
[10:48:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=355, y=74, z=1310} gt{x=354, y=75, z=1310}
[10:54:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=405, y=76, z=1302} gt{x=404, y=76, z=1302}
[10:54:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=405, y=76, z=1302} gt{x=404, y=76, z=1302}
[10:55:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=324, y=76, z=1303} gt{x=327, y=74, z=1306}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:56] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:55:56] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=325, y=76, z=1298} gt{x=323, y=76, z=1299}
[10:56:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=329, y=78, z=1304} gt{x=326, y=75, z=1310}
[10:59:21] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=346, y=74, z=1287} gt{x=346, y=73, z=1287}
[10:59:21] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=346, y=74, z=1287} gt{x=346, y=73, z=1287}
[10:59:21] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=346, y=74, z=1287} gt{x=346, y=73, z=1287}
[10:59:21] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=346, y=74, z=1287} gt{x=346, y=73, z=1287}
[10:59:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=346, y=74, z=1287} gt{x=346, y=73, z=1287}
[10:59:32] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=74, z=1306} gt{x=365, y=74, z=1304}
[10:59:32] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=74, z=1306} gt{x=365, y=74, z=1304}
[10:59:32] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=74, z=1306} gt{x=365, y=74, z=1304}
[10:59:32] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=74, z=1306} gt{x=365, y=74, z=1304}
[10:59:32] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=74, z=1306} gt{x=365, y=74, z=1304}
[10:59:40] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=74, z=1306} gt{x=340, y=74, z=1287}
[10:59:40] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=74, z=1306} gt{x=340, y=74, z=1287}
[10:59:41] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=74, z=1306} gt{x=340, y=74, z=1287}
[11:00:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=68, z=1302} gt{x=365, y=67, z=1306}
[11:00:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=68, z=1302} gt{x=365, y=67, z=1306}
[11:00:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=68, z=1302} gt{x=365, y=67, z=1306}
[11:02:38] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=344, y=73, z=1289} gt{x=343, y=72, z=1289}
[11:02:38] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=344, y=73, z=1289} gt{x=343, y=72, z=1289}
[11:05:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=361, y=72, z=1299} gt{x=358, y=72, z=1300}
[11:05:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=361, y=72, z=1299} gt{x=358, y=72, z=1300}
[11:05:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=361, y=72, z=1299} gt{x=358, y=72, z=1300}
[11:05:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=361, y=72, z=1299} gt{x=358, y=72, z=1300}
[11:05:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=361, y=72, z=1299} gt{x=358, y=72, z=1300}
[11:05:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=361, y=72, z=1299} gt{x=358, y=72, z=1300}
[11:05:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=361, y=72, z=1299} gt{x=358, y=72, z=1300}
[11:06:45] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=338, y=69, z=1308} gt{x=338, y=69, z=1309}
[11:06:45] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=338, y=69, z=1308} gt{x=338, y=69, z=1309}
[11:06:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=339, y=70, z=1308} gt{x=337, y=70, z=1310}
[11:08:11] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=68, z=1291}
[11:08:11] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=68, z=1291}
[11:08:11] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=68, z=1291}
[11:08:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=68, z=1291}
[11:08:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=69, z=1294}
[11:08:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=69, z=1294}
[11:08:15] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=69, z=1294}
[11:08:15] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=69, z=1294}
[11:08:15] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=69, z=1294}
[11:08:15] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=69, z=1294}
[11:08:15] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=336, y=67, z=1288} gt{x=336, y=69, z=1294}
[11:09:55] [Server thread/INFO]: tenpensizimi lost connection: Disconnected
[11:09:55] [Server thread/INFO]: tenpensizimi left the game
