[00:00:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=85, z=-530} gt{x=-85, y=82, z=-532}
[00:05:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=85, z=-530} gt{x=-85, y=82, z=-532}
[00:05:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=85, z=-530} gt{x=-85, y=82, z=-532}
[00:05:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=85, z=-530} gt{x=-85, y=82, z=-532}
[00:05:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=85, z=-530} gt{x=-85, y=82, z=-532}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=87, z=-525} gt{x=-91, y=92, z=-509}
[00:06:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-90, y=91, z=-512} gt{x=-91, y=91, z=-512}
[00:06:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-90, y=91, z=-512} gt{x=-91, y=91, z=-512}
[00:06:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-90, y=91, z=-512} gt{x=-91, y=91, z=-512}
[00:06:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-90, y=91, z=-512} gt{x=-91, y=91, z=-512}
[00:06:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-90, y=91, z=-512} gt{x=-91, y=91, z=-512}
[00:06:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-90, y=91, z=-512} gt{x=-91, y=91, z=-512}
[00:06:13] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-90, y=91, z=-512} gt{x=-91, y=91, z=-512}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-84, y=88, z=-518} gt{x=-84, y=88, z=-519}
[00:06:54] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:54] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:54] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:54] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:55] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-97, y=88, z=-520} gt{x=-95, y=89, z=-521}
[00:06:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:06:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-88, y=88, z=-519} gt{x=-89, y=88, z=-520}
[00:07:18] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-83, y=86, z=-525} gt{x=-84, y=86, z=-525}
[00:07:18] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-83, y=86, z=-525} gt{x=-84, y=86, z=-525}
[00:07:18] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-85, y=86, z=-525} gt{x=-84, y=86, z=-525}
[00:07:31] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-83, y=84, z=-529} gt{x=-86, y=82, z=-532}
[00:07:31] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-83, y=84, z=-529} gt{x=-86, y=82, z=-532}
[00:07:31] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-86, y=82, z=-531} gt{x=-86, y=82, z=-532}
[00:07:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-96, y=84, z=-531} gt{x=-95, y=83, z=-532}
[00:07:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-96, y=84, z=-531} gt{x=-95, y=83, z=-532}
[00:07:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-96, y=84, z=-531} gt{x=-95, y=83, z=-532}
[00:07:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-96, y=84, z=-531} gt{x=-95, y=83, z=-532}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:00] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-94, y=90, z=-519} gt{x=-94, y=89, z=-518}
[00:08:11] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-95, y=91, z=-511} gt{x=-94, y=91, z=-512}
[00:08:11] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-95, y=91, z=-511} gt{x=-94, y=91, z=-512}
[00:08:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-92, y=91, z=-511} gt{x=-92, y=90, z=-511}
[00:08:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-92, y=91, z=-511} gt{x=-92, y=90, z=-511}
[00:08:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-92, y=91, z=-511} gt{x=-92, y=90, z=-511}
[00:08:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-92, y=91, z=-511} gt{x=-92, y=90, z=-511}
[00:08:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-92, y=91, z=-511} gt{x=-92, y=90, z=-511}
[00:08:12] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-92, y=91, z=-511} gt{x=-92, y=90, z=-511}
[00:08:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-102, y=92, z=-510}
[00:08:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:08:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=93, z=-510} gt{x=-107, y=92, z=-515}
[00:12:29] [Server thread/INFO]: hayatohayato has made the advancement [What a Deal!]
[00:15:50] [Server thread/INFO]: CHAN4869 has made the advancement [Eye Spy]
[00:15:55] [Server thread/INFO]: CHAN4869 has made the advancement [The End?]
[00:16:35] [Server thread/INFO]: hayatohayato has made the advancement [Cover Me with Diamonds]
[00:22:56] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:22:56] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:22:56] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:22:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:22:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:22:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:22:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:22:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:22:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-144, y=38, z=-493} gt{x=-145, y=38, z=-493}
[00:23:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-142, y=37, z=-494} gt{x=-140, y=36, z=-494}
[00:23:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-142, y=37, z=-494} gt{x=-140, y=36, z=-494}
[00:23:29] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=366, y=67, z=1683} gt{x=366, y=66, z=1683}
[00:23:29] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=366, y=67, z=1683} gt{x=366, y=66, z=1683}
[00:23:32] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-145, y=39, z=-490} gt{x=-144, y=39, z=-490}
[00:23:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-145, y=39, z=-490} gt{x=-144, y=39, z=-490}
[00:23:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-145, y=39, z=-490} gt{x=-144, y=39, z=-490}
[00:24:38] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-138, y=41, z=-484} gt{x=-139, y=42, z=-483}
[00:25:45] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-141, y=38, z=-485} gt{x=-142, y=38, z=-485}
[00:25:45] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-141, y=38, z=-485} gt{x=-142, y=38, z=-485}
[00:25:45] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-141, y=38, z=-485} gt{x=-142, y=38, z=-485}
[00:25:45] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-141, y=38, z=-485} gt{x=-142, y=38, z=-485}
[00:25:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:25:47] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-140, y=39, z=-485} gt{x=-142, y=39, z=-485}
[00:26:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-147, y=41, z=-487} gt{x=-150, y=41, z=-490}
[00:26:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-147, y=41, z=-487} gt{x=-150, y=41, z=-490}
[00:26:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=43, z=-486} gt{x=-150, y=42, z=-485}
[00:26:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=43, z=-486} gt{x=-150, y=42, z=-485}
[00:26:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=43, z=-486} gt{x=-150, y=42, z=-485}
[00:26:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=43, z=-486} gt{x=-150, y=42, z=-485}
[00:26:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=43, z=-486} gt{x=-150, y=42, z=-485}
[00:26:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=43, z=-486} gt{x=-150, y=42, z=-485}
[00:26:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=43, z=-486} gt{x=-150, y=42, z=-485}
[00:26:19] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=43, z=-486} gt{x=-150, y=42, z=-485}
[00:29:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-156, y=45, z=-484} gt{x=-160, y=46, z=-489}
[00:29:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-156, y=45, z=-484} gt{x=-160, y=46, z=-489}
[00:29:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-156, y=45, z=-484} gt{x=-160, y=46, z=-489}
[00:31:17] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-158, y=39, z=-484} gt{x=-158, y=38, z=-484}
[00:31:17] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-158, y=39, z=-484} gt{x=-158, y=38, z=-484}
[00:31:17] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-158, y=39, z=-484} gt{x=-158, y=38, z=-484}
[00:33:41] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-158, y=31, z=-491} gt{x=-158, y=32, z=-489}
[00:33:41] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-158, y=31, z=-491} gt{x=-158, y=32, z=-489}
[00:33:41] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-158, y=31, z=-491} gt{x=-158, y=32, z=-489}
[00:33:41] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-158, y=31, z=-491} gt{x=-158, y=32, z=-489}
[00:36:43] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=47, z=-480} gt{x=-149, y=46, z=-483}
[00:36:43] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=47, z=-480} gt{x=-149, y=46, z=-483}
[00:36:43] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=47, z=-480} gt{x=-149, y=46, z=-483}
[00:36:43] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=47, z=-480} gt{x=-149, y=46, z=-483}
[00:36:43] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-150, y=47, z=-480} gt{x=-149, y=46, z=-483}
[00:39:26] [Server thread/INFO]: CHAN4869 has made the advancement [Enchanter]
[00:39:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-148, y=37, z=-487} gt{x=-148, y=36, z=-487}
[00:39:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-148, y=37, z=-487} gt{x=-148, y=36, z=-487}
[00:39:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-148, y=37, z=-487} gt{x=-148, y=36, z=-487}
[00:39:33] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-148, y=37, z=-487} gt{x=-148, y=36, z=-487}
